"filename", "language", "YAML", "JSON", "JavaScript", "JSON with Comments", "Properties", "Ignore", "Markdown", "TypeScript", "Docker", "comment", "blank", "total"
"/Users/aurelien/Documents/Developpement/arvala/src/place/place.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 2, 22
"/Users/aurelien/Documents/Developpement/arvala/src/place/place.schema.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 26, 152
"/Users/aurelien/Documents/Developpement/arvala/src/place/place.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 549, 0, 7, 53, 609
"/Users/aurelien/Documents/Developpement/arvala/src/place/types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 2, 133
"/Users/aurelien/Documents/Developpement/arvala/src/relationships/relationships.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 5, 28
"/Users/aurelien/Documents/Developpement/arvala/src/relationships/relationships.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 9, 41
"/Users/aurelien/Documents/Developpement/arvala/src/relationships/relationships.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"/Users/aurelien/Documents/Developpement/arvala/src/relationships/relationships.schema.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 7, 33
"/Users/aurelien/Documents/Developpement/arvala/src/relationships/relationships.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 11, 64
"/Users/aurelien/Documents/Developpement/arvala/src/topics/topic.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 8, 45
"/Users/aurelien/Documents/Developpement/arvala/src/topics/topic.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 18, 71
"/Users/aurelien/Documents/Developpement/arvala/src/topics/topic.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"/Users/aurelien/Documents/Developpement/arvala/src/topics/topic.schema.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 11, 59
"/Users/aurelien/Documents/Developpement/arvala/src/topics/topic.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 21, 140
"/Users/aurelien/Documents/Developpement/arvala/src/user/create-user.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 8, 32
"/Users/aurelien/Documents/Developpement/arvala/src/user/user.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 57, 0, 10, 11, 78
"/Users/aurelien/Documents/Developpement/arvala/src/user/user.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 15, 60
