Date : 2024-01-04 17:28:32
Directory : /Users/aurelien/Documents/Developpement/arvala
Total : 71 files,  15333 codes, 304 comments, 712 blanks, all 16349 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/aurelien/Documents/Developpement/arvala/src/event/event.controller.ts                 | TypeScript         |        115 |          4 |         16 |        135 |
| /Users/aurelien/Documents/Developpement/arvala/src/event/event.dto.ts                        | TypeScript         |        123 |          0 |         51 |        174 |
| /Users/aurelien/Documents/Developpement/arvala/src/event/event.module.ts                     | TypeScript         |         18 |          0 |          2 |         20 |
| /Users/aurelien/Documents/Developpement/arvala/src/event/event.schema.ts                     | TypeScript         |        139 |          0 |         27 |        166 |
| /Users/aurelien/Documents/Developpement/arvala/src/event/event.service.ts                    | TypeScript         |        448 |         10 |         55 |        513 |
| /Users/aurelien/Documents/Developpement/arvala/src/event/utils.ts                            | TypeScript         |         68 |          0 |          3 |         71 |
| /Users/aurelien/Documents/Developpement/arvala/src/main.ts                                   | TypeScript         |         29 |          4 |          7 |         40 |
| /Users/aurelien/Documents/Developpement/arvala/src/place/place.controller.ts                 | TypeScript         |         92 |          0 |         14 |        106 |
| /Users/aurelien/Documents/Developpement/arvala/src/place/place.dto.ts                        | TypeScript         |        141 |          0 |         49 |        190 |
| /Users/aurelien/Documents/Developpement/arvala/src/place/place.module.ts                     | TypeScript         |         20 |          0 |          2 |         22 |
| /Users/aurelien/Documents/Developpement/arvala/src/place/place.schema.ts                     | TypeScript         |        126 |          0 |         26 |        152 |
| /Users/aurelien/Documents/Developpement/arvala/src/place/place.service.ts                    | TypeScript         |        549 |          7 |         53 |        609 |
| /Users/aurelien/Documents/Developpement/arvala/src/place/types.ts                            | TypeScript         |        131 |          0 |          2 |        133 |
| /Users/aurelien/Documents/Developpement/arvala/src/relationships/relationships.controller.ts | TypeScript         |         23 |          0 |          5 |         28 |
| /Users/aurelien/Documents/Developpement/arvala/src/relationships/relationships.dto.ts        | TypeScript         |         32 |          0 |          9 |         41 |
| /Users/aurelien/Documents/Developpement/arvala/src/relationships/relationships.module.ts     | TypeScript         |         16 |          0 |          2 |         18 |
| /Users/aurelien/Documents/Developpement/arvala/src/relationships/relationships.schema.ts     | TypeScript         |         26 |          0 |          7 |         33 |
| /Users/aurelien/Documents/Developpement/arvala/src/relationships/relationships.service.ts    | TypeScript         |         53 |          0 |         11 |         64 |
| /Users/aurelien/Documents/Developpement/arvala/src/topics/topic.controller.ts                | TypeScript         |         37 |          0 |          8 |         45 |
| /Users/aurelien/Documents/Developpement/arvala/src/topics/topic.dto.ts                       | TypeScript         |         53 |          0 |         18 |         71 |
| /Users/aurelien/Documents/Developpement/arvala/src/topics/topic.module.ts                    | TypeScript         |         16 |          0 |          2 |         18 |
| /Users/aurelien/Documents/Developpement/arvala/src/topics/topic.schema.ts                    | TypeScript         |         48 |          0 |         11 |         59 |
| /Users/aurelien/Documents/Developpement/arvala/src/topics/topic.service.ts                   | TypeScript         |        119 |          0 |         21 |        140 |
| /Users/aurelien/Documents/Developpement/arvala/src/user/create-user.dto.ts                   | TypeScript         |         24 |          0 |          8 |         32 |
| /Users/aurelien/Documents/Developpement/arvala/src/user/user.controller.ts                   | TypeScript         |         57 |         10 |         11 |         78 |
| /Users/aurelien/Documents/Developpement/arvala/src/user/user.dto.ts                          | TypeScript         |         45 |          0 |         15 |         60 |
| /Users/aurelien/Documents/Developpement/arvala/src/user/user.module.ts                       | TypeScript         |         14 |          0 |          2 |         16 |
| /Users/aurelien/Documents/Developpement/arvala/src/user/user.schema.ts                       | TypeScript         |         57 |          0 |         17 |         74 |
| /Users/aurelien/Documents/Developpement/arvala/src/user/user.service.ts                      | TypeScript         |         84 |          9 |         18 |        111 |
| /Users/aurelien/Documents/Developpement/arvala/src/utils/BaseDBObject.ts                     | TypeScript         |         21 |          0 |          7 |         28 |
| /Users/aurelien/Documents/Developpement/arvala/src/utils/GeoPoint.ts                         | TypeScript         |         23 |          0 |          5 |         28 |
| /Users/aurelien/Documents/Developpement/arvala/src/utils/commons.schema.ts                   | TypeScript         |        131 |          0 |         12 |        143 |
| /Users/aurelien/Documents/Developpement/arvala/src/utils/page/page-meta.dto.ts               | TypeScript         |         28 |          0 |          9 |         37 |
| /Users/aurelien/Documents/Developpement/arvala/src/utils/page/page-options.dto.ts            | TypeScript         |         36 |          0 |          6 |         42 |
| /Users/aurelien/Documents/Developpement/arvala/src/utils/page/page.dto.ts                    | TypeScript         |         14 |          0 |          4 |         18 |
| /Users/aurelien/Documents/Developpement/arvala/src/utils/types.ts                            | TypeScript         |        503 |          0 |         30 |        533 |
| /Users/aurelien/Documents/Developpement/arvala/test/app.e2e-spec.ts                          | TypeScript         |         20 |          0 |          5 |         25 |
| /Users/aurelien/Documents/Developpement/arvala/test/jest-e2e.json                            | JSON               |          9 |          0 |          1 |         10 |
| /Users/aurelien/Documents/Developpement/arvala/tsconfig.build.json                           | JSON               |          3 |          2 |          0 |          5 |
| /Users/aurelien/Documents/Developpement/arvala/tsconfig.json                                 | JSON with Comments |         22 |          0 |          1 |         23 |
| Total                                                                                        |                    |     15,333 |        304 |        712 |     16,349 |
+----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
